app,subScene,scene,state,uiElement,device,screenMode,栏,variantId,notes,framework
Contacts,,NLC,默认,Fab,Pad竖,NLC,L栏,标题栏 新建图标,,
Contacts,,NLC,默认,Fab,Pad竖,NLC收起,L栏,标题栏 新建图标,,
Contacts,,NLC,默认,Fab,Pad横,NLC,L栏,标题栏 新建图标,,
Contacts,,NLC,默认,Fab,Pad横,NLC收起,L栏,标题栏 新建图标,,
Contacts,,LC,Pad 端 Pad,TopBar,Pad竖,LC,全栏,(framework_reuse),使用 LC栏 框架,
Contacts,,LC,Pad 端 Pad,TopBar,Pad横,LC,全栏,(framework_reuse),使用 LC栏 框架,
Contacts,,LC,Pad 端 Pad,NavigationBar,Pad竖,LC,L栏,NavigationBar_ComponentSet_01,,
Contacts,,LC,Pad 端 Pad,NavigationBar,Pad竖,LC,C栏,1. 未选中L栏list：无标题,,
Contacts,,LC,Pad 端 Pad,NavigationBar,Pad竖,LC,全栏,2. 选中L栏list：NavigationBar_ComponentSet_10,,
Contacts,,LC,Pad 端 Pad,NavigationBar,Pad横,LC,L栏,NavigationBar_ComponentSet_01,,
Contacts,,LC,Pad 端 Pad,NavigationBar,Pad横,LC,C栏,1. 未选中L栏list：无标题,,
Contacts,,LC,Pad 端 Pad,NavigationBar,Pad横,LC,全栏,2. 选中L栏list：NavigationBar_ComponentSet_10,,
Contacts,,LC,Pad 端 Pad,SearchBar,Pad竖,LC,L栏,SearchBar_ComponentSet_02,,
Contacts,,LC,Pad 端 Pad,SearchBar,Pad横,LC,L栏,SearchBar_ComponentSet_02,,
