应用,,PHONE,,FOLD,,,,,,,,PAD,,,,,,,,,,,,,,,
,,竖屏,横屏,外屏,,内屏 / 竖屏,,,内屏 / 横屏,,,竖屏,,,,,,,,横屏,,,,,,,
,"浮层 Overay / 文件夹管理窗口
ManageFoldWindow / NC",Sidebar_Component_Fold_LC_01 : 宽度定制283,,Sidebar_Component_Fold_LC_01 : 宽度定制 283,,FloatingWindow_ComponentSet_01,,,FloatingWindow_ComponentSet_01,,,,,,,"N栏：
Sidebar_Component_PAD_NLC_01 文件夹列表",不展示,,,,,"N栏：
Sidebar_Component_PAD_NLC_01 文件夹列表",不展示,,,,
,浮层 Overay / 抽屉窗口 FloatingWindow,DrawerWindow_ComponentSet_high_01,,DrawerWindow_ComponentSet_high_01,,FloatingWindow_ComponentSet_01,,,FloatingWindow_ComponentSet_01,,,FloatingWindow_ComponentSet_01,,,,,,,,FloatingWindow_ComponentSet_01,,,,,,,
,浮层 Overay / 分段按钮 Segmented Controls,SegmentedControls_ComponentSet_01,,SegmentedControls_ComponentSet_01,,SegmentedControls_ComponentSet_01,,,SegmentedControls_ComponentSet_01,,,SegmentedControls_ComponentSet_02,,,,,,,,SegmentedControls_ComponentSet_02,,,,,,,
,浮层 Overay / 弹窗 Dialog,AlertDialog_ComponentSet_01,,AlertDialog_ComponentSet_01,,AlertDialog_ComponentSet_01,,,AlertDialog_ComponentSet_01,,,AlertDialog_ComponentSet_01,,,,,,,,AlertDialog_ComponentSet_01,,,,,,,
,浮层 Overay / 选择器 Picker ,WheelPicker_ComponentSet_01,,WheelPicker_ComponentSet_01,,WheelPicker_ComponentSet_01,,,WheelPicker_ComponentSet_01,,,WheelPicker_ComponentSet_01,,,,,,,,WheelPicker_ComponentSet_01,,,,,,,
,浮层 Overay / 菜单 Menu / NLC,Menu_ComponentSet_03,,Menu_ComponentSet_03,,,"L栏：
Menu_ComponentSet_03

C栏：
Menu_ComponentSet_01",,,"L栏：
Menu_ComponentSet_03

C栏：
Menu_ComponentSet_01",,"L栏：
Menu_ComponentSet_03

C栏：
Menu_ComponentSet_01","L栏：
Menu_ComponentSet_03

C栏：
Menu_ComponentSet_01",,,,,,,"L栏：
Menu_ComponentSet_03

C栏：
Menu_ComponentSet_01","L栏：
Menu_ComponentSet_03

C栏：
Menu_ComponentSet_01",,,,,,
,浮层 Overay / 菜单 Menu / NL,Menu_ComponentSet_03,,Menu_ComponentSet_03,,,,"C栏：
Menu_ComponentSet_03",,,"C栏：
Menu_ComponentSet_03",,,"N栏：
NavigationBar_ComponentSet_12

L栏：
Menu_ComponentSet_03","
N栏：
不展示

L栏：
Menu_ComponentSet_03",,,,,,,"N栏：
NavigationBar_ComponentSet_12

L栏：
Menu_ComponentSet_03","
N栏：
不展示

l栏：
Menu_ComponentSet_03",,,,
,浮层 Overay / 菜单 Menu / NC,Menu_ComponentSet_03,,Menu_ComponentSet_03,,,"L栏：
Menu_ComponentSet_03

C栏：
Menu_ComponentSet_01",,,"L栏：
Menu_ComponentSet_03

C栏：
Menu_ComponentSet_01",,,,,,"N栏：
Menu_ComponentSet_03

C栏：
Menu_ComponentSet_01","N栏：
Menu_ComponentSet_00

C栏：
Menu_ComponentSet_01",,,,,,,"N栏：
Menu_ComponentSet_03

C栏：
Menu_ComponentSet_01","N栏：
Menu_ComponentSet_00

C栏：
Menu_ComponentSet_01",,
,浮层 Overay / 菜单 Menu / LC,Menu_ComponentSet_03,,Menu_ComponentSet_03,,,"L栏：
Menu_ComponentSet_03

C栏：
Menu_ComponentSet_01",,,"L栏：
Menu_ComponentSet_03

C栏：
Menu_ComponentSet_01",,,,,,,,"L栏：
Menu_ComponentSet_00

C栏：
Menu_ComponentSet_01",,,,,,,,"L栏：
Menu_ComponentSet_00

C栏：
Menu_ComponentSet_01",
,浮层 Overay / 菜单 Menu / C,Menu_ComponentSet_03,,Menu_ComponentSet_03,,,,Menu_ComponentSet_01,,,Menu_ComponentSet_01,,,,,,,,Menu_ComponentSet_03,,,,,,,,Menu_ComponentSet_03
,浮层 Overay / 行动操作按钮 ActionSheet ,Actionsheet_ComponentSet_01,,Actionsheet_ComponentSet_01,,Actionsheet_ComponentSet_01,,,Actionsheet_ComponentSet_01,,,Actionsheet_ComponentSet_01,,,,,,,,Actionsheet_ComponentSet_01,,,,,,,
,笔记详情 DetailNotes / NLC,DetailNotes_01,,DetailNotes_01,,,"C栏：
DetailNotes_01",,,"C栏：
DetailNotes_01",,"C栏：
DetailNotes_01","C栏：
DetailNotes_01",,,,,,,"C栏：
DetailNotes_01","C栏：
DetailNotes_01",,,,,,
,笔记详情 DetailNotes/ NC,DetailNotes_01,,DetailNotes_01,,,,DetailNotes_01,,,DetailNotes_01,,,,,"C 栏：
DetailNotes_01","C 栏：
DetailNotes_01",,,,,,,"C 栏：
DetailNotes_01","C 栏：
DetailNotes_01",,
,笔记详情 DetailNotes / LC,DetailNotes_01,,DetailNotes_01,,,"C栏：
DetailNotes_01",,,"C栏：
DetailNotes_01",,,,,,,,"C栏：
DetailNotes_01",,,,,,,,"C栏：
DetailNotes_01",
,笔记详情 DetailNotes / C,DetailNotes_01,,DetailNotes_01,,,,DetailNotes_01,,,DetailNotes_01,,,,,,,,DetailNotes_01,,,,,,,,DetailNotes_01
,"AI窗口 AIWindow_Notes / 顶部导航栏 TopBar
侧边栏 Sidebar
底部导航栏 BottomBar / NC",Sidebar_Component_PAD_NLC_00,,Sidebar_Component_PAD_NLC_00,,,,Sidebar_Component_PAD_NLC_00,,,Sidebar_Component_PAD_NLC_00,,,,,"N栏：
Sidebar_Component_PAD_NLC_01","N栏：
Sidebar_Component_PAD_NLC_00",,,,,,,,,,
,AI窗口 AIWindow_Notes / 标题栏 NavigationBar / NC,NavigationBar_ComponentSet_10,,NavigationBar_ComponentSet_13,,,,NavigationBar_ComponentSet_13,,,NavigationBar_ComponentSet_13,,,,,"N栏：
NavigationBar_ComponentSet_00

C栏：
NavigationBar_ComponentSet_10","N栏：
NavigationBar_ComponentSet_00

C栏：
NavigationBar_ComponentSet_12", ,,,,,,"N栏：
NavigationBar_ComponentSet_00

C栏：
NavigationBar_ComponentSet_10","N栏：
NavigationBar_ComponentSet_00

C栏：
NavigationBar_ComponentSet_12",,
,AI窗口 AIWindow_Notes / 选项 Options / NC,AIWindow_Options_01,,AIWindow_Options_02,,,,AIWindow_Options_03,,,AIWindow_Options_04,,,,,C栏：AIWindow_Options_05,C栏：AIWindow_Options_05,,,,,,,C栏：AIWindow_Options_06,C栏：AIWindow_Options_06,,
,AI窗口 AIWindow_Notes / 容器 / NC,DrawerWindow_ComponentSet_high_01,,竖屏背景,,,,C栏：竖屏背景,,,C栏：竖屏背景,,,,,C栏：竖屏背景,C栏：竖屏背景,,,,,,,C栏：竖屏背景,C栏：竖屏背景,,
,AI窗口 AIWindow_Notes / 底部输入框 TextInput / NC,TextInput_ComponentSet_Notes_02,,TextInput_ComponentSet_Notes_02,,,,TextInput_ComponentSet_Notes_02,,,TextInput_ComponentSet_Notes_02,,,,,TextInput_ComponentSet_Notes_02,TextInput_ComponentSet_Notes_02,,,,,,,TextInput_ComponentSet_Notes_02,TextInput_ComponentSet_Notes_02,,
,AI窗口 AIWindow_Notes / 思维导图 Notes_Outline,,,,,,,,,,,,,,,,,,,,,,,,,,
,录音窗口 RecordNotes,RecordNotes_01,,RecordNotes_01,,,RecordNotes_02,,,RecordNotes_02,,RecordNotes_02,RecordNotes_02,,,,,,,RecordNotes_02,RecordNotes_02,,,,,,
,应用设置页面 AppSettings / 一级,NavigationBar_ComponentSet_02,,NavigationBar_ComponentSet_02,,FloatingWindow_ComponentSet_01,,,FloatingWindow_ComponentSet_01,,,FloatingWindow_ComponentSet_01,,,,,,,,FloatingWindow_ComponentSet_01,,,,,,,
,应用设置页面 AppSettings / 二级,NavigationBar_ComponentSet_02,,NavigationBar_ComponentSet_02,,FloatingWindow_ComponentSet_02,,,FloatingWindow_ComponentSet_02,,,FloatingWindow_ComponentSet_02,,,,,,,,FloatingWindow_ComponentSet_02,,,,,,,
待办 Tasks,"顶部导航栏 TopBar
侧边栏 Sidebar
底部导航栏 BottomBar",BottomBar_Showcase_00,,BottomBar_Showcase_00,,,"L栏：
BottomBar_Showcase_00",,,"L栏：
BottomBar_Showcase_00",,N栏：Sidebar_Component_PAD_NLC_01,N栏：Sidebar_Component_PAD_NLC_00,,,,,,,N栏：Sidebar_Component_PAD_NLC_01,N栏：Sidebar_Component_PAD_NLC_00,,,,,,
,标题栏 NavigationBar,NavigationBar_ComponentSet_02,,NavigationBar_ComponentSet_05,,,"L栏：
NavigationBar_ComponentSet_05

C栏：NavigationBar_ComponentSet_00",,,"L栏：
NavigationBar_ComponentSet_05

C栏：NavigationBar_ComponentSet_00",,"N栏：
NavigationBar_ComponentSet_12

L栏：
NavigationBar_ComponentSet_07

C栏：NavigationBar_ComponentSet_00","N栏：
NavigationBar_ComponentSet_00

L栏：
NavigationBar_ComponentSet_17

C栏：NavigationBar_ComponentSet_00",,,,,,,"N栏：
NavigationBar_ComponentSet_12

L栏：
NavigationBar_ComponentSet_07

C栏：NavigationBar_ComponentSet_00","N栏：
NavigationBar_ComponentSet_00

L栏：
NavigationBar_ComponentSet_17

C栏：NavigationBar_ComponentSet_00",,,,,,
,标题栏 NavigationBar / 编辑模式,NavigationBar_ComponentSet_03,,NavigationBar_ComponentSet_06,,,"L栏：
NavigationBar_ComponentSet_06

C栏：
NavigationBar_ComponentSet_00",,,"L栏：
NavigationBar_ComponentSet_06

C栏：
NavigationBar_ComponentSet_00",,"N栏：
NavigationBar_ComponentSet_12

L栏：
NavigationBar_ComponentSet_09

C栏：NavigationBar_ComponentSet_00","N栏：
NavigationBar_ComponentSet_00

L栏：
NavigationBar_ComponentSet_18

C栏：NavigationBar_ComponentSet_00",,,,,,,"N栏：
NavigationBar_ComponentSet_12

L栏：
NavigationBar_ComponentSet_09

C栏：NavigationBar_ComponentSet_00","N栏：
NavigationBar_ComponentSet_00

L栏：
NavigationBar_ComponentSet_18

C栏：NavigationBar_ComponentSet_00",,,,,,
,搜索栏 SearchBar,SearchBar_ComponentSet_05,,SearchBar_ComponentSet_05,,,"L栏：
SearchBar_ComponentSet_05",,,"L栏：
SearchBar_ComponentSet_05",,"L栏：
SearchBar_ComponentSet_05","L栏：
SearchBar_ComponentSet_05",,,,,,,"L栏：
SearchBar_ComponentSet_05","L栏：
SearchBar_ComponentSet_05",,,,,,
,标签栏 SelectableChip / NLC,SelectableChip_ComponentSet_Notes_01,,SelectableChip_ComponentSet_Notes_01,,,"L栏：
SelectableChip_ComponentSet_Notes_02",,,"L栏：
SelectableChip_ComponentSet_Notes_02",,"N栏：
SelectableChip_ComponentSet_Notes_00","N栏：
SelectableChip_ComponentSet_Notes_00",,,,,,,"N栏：
SelectableChip_ComponentSet_Notes_00","N栏：
SelectableChip_ComponentSet_Notes_00",,,,,,
,列表 List / NLC,List_Task_01,,List_Task_01,,,"L栏
List_Task_03",,,"L栏
List_Task_03",,"L栏
List_Task_03","L栏
List_Task_03",,,,,,,"L栏
List_Task_03","L栏
List_Task_03",,,,,,
,列表 List / 编辑模式 Edit Mode,List_Task_02,,List_Task_02,,,"L栏：
List_Task_04",,,"L栏：
List_Task_04",,"L栏：
List_Task_04","L栏：
List_Task_04",,,,,,,"L栏：
List_Task_04","L栏：
List_Task_04",,,,,,
,底部工具栏 ToolBar / 编辑模式 Edit Mode / NLC,ToolBar_ComponentSet_02,,ToolBar_ComponentSet_02,,,"L栏：
ToolBar_ComponentSet_01",,,"L栏：
ToolBar_ComponentSet_01",,"L栏：
ToolBar_ComponentSet_01","L栏：
ToolBar_ComponentSet_01",,,,,,,"L栏：
ToolBar_ComponentSet_01","L栏：
ToolBar_ComponentSet_01",,,,,,
,弹窗 AlertDialog,NewTaskWindow_01,,NewTaskWindow_01,,,C栏：NewTaskWindow_01,,,"C栏：
NewTaskWindow_01",,"C栏：
NewTaskWindow_01","C栏：
NewTaskWindow_01",,,,,,,"C栏：
NewTaskWindow_01","C栏：
NewTaskWindow_01",,,,,,
,,NewTaskWindow_02,,NewTaskWindow_02,,,C栏：NewTaskWindow_02,,,C栏：NewTaskWindow_02,,"C栏：
NewTaskWindow_02","C栏：
NewTaskWindow_02",,,,,,,"C栏：
NewTaskWindow_02","C栏：
NewTaskWindow_02",,,,,,
,Fab,Fab_01,,Fab_01,,,"C栏：
Fab_01",,,"C栏：
Fab_01",,"C栏：
Fab_00","C栏：
Fab_00",,,,,,,"C栏：
Fab_00","C栏：
Fab_00",,,,,,
,待办详情 DetailTask / NLC,,,DetailTask_00,,,"C栏：
DetailTask_01",,,"C栏：
DetailTask_01",,"C栏：
DetailTask_01","C栏：
DetailTask_01",,,,,,,"C栏：
DetailTask_01","C栏：
DetailTask_01",,,,,,
