应用,,PHONE,,FOLD,,,,,,,,PAD,,,,,,,,,,,,,,,
,,竖屏,横屏,外屏,,内屏 / 竖屏,,,内屏 / 横屏,,,竖屏,,,,,,,,横屏,,,,,,,
,底部工具栏 ToolBar / 编辑模式 Edit Mode / NLC,"ToolBar_ComponentSet_02 ：
未选列表时候：禁用态 Disalbled
选择列表时候 ：正常态 Normal",,"ToolBar_ComponentSet_02 ：
未选列表时候：禁用态 Disalbled
选择列表时候 ：正常态 Normal",,,"L栏：
ToolBar_ComponentSet_01 ：
未选列表时候：禁用态 Disalbled
选择列表时候 ：正常态 Normal",,,"L栏：
ToolBar_ComponentSet_01 ：
未选列表时候：禁用态 Disalbled
选择列表时候 ：正常态 Normal",,"L栏：
ToolBar_ComponentSet_01","L栏：
ToolBar_ComponentSet_01",,,,,,,"L栏：
ToolBar_ComponentSet_01","L栏：
ToolBar_ComponentSet_01",,,,,,
,底部工具栏 ToolBar / 编辑模式 Edit Mode / NL,"ToolBar_ComponentSet_02 ：
未选列表时候：禁用态 Disalbled
选择列表时候 ：正常态 Normal",,"ToolBar_ComponentSet_02 ：
未选列表时候：禁用态 Disalbled
选择列表时候 ：正常态 Normal",,,,"ToolBar_ComponentSet_02 ：
未选列表时候：禁用态 Disalbled
选择列表时候 ：正常态 Normal",,,"ToolBar_ComponentSet_02：
未选列表时候：禁用态 Disalbled
选择列表时候 ：正常态 Normal",,,"L栏：
ToolBar_ComponentSet_02","L栏：
ToolBar_ComponentSet_02",,,,,,,"L栏：
ToolBar_ComponentSet_02","L栏：
ToolBar_ComponentSet_02",,,,
,底部工具栏 ToolBar / 编辑模式 Edit Mode / LC,"ToolBar_ComponentSet_02 ：
未选列表时候：禁用态 Disalbled
选择列表时候 ：正常态 Normal",,"ToolBar_ComponentSet_02 ：
未选列表时候：禁用态 Disalbled
选择列表时候 ：正常态 Normal",,,"L栏：
ToolBar_ComponentSet_01 ：
未选列表时候：禁用态 Disalbled
选择列表时候 ：正常态 Normal",,,"L栏：
ToolBar_ComponentSet_01 ：
未选列表时候：禁用态 Disalbled
选择列表时候 ：正常态 Normal",,,,,,,,"L栏：
ToolBar_ComponentSet_01 ：
未选列表时候：禁用态 Disalbled
选择列表时候 ：正常态 Normal",,,,,,,,"L栏：
ToolBar_ComponentSet_01 ：
未选列表时候：禁用态 Disalbled
选择列表时候 ：正常态 Normal",
,底部工具栏 ToolBar / 思维导图编辑 MindMap_Edit /C,BottomBar_Notes_Outline_02,,BottomBar_Notes_Outline_02,,,,BottomBar_Notes_Outline_02,,,BottomBar_Notes_Outline_02,,,,,,,,BottomBar_Notes_Outline_02,,,,,,,,BottomBar_Notes_Outline_02
,底部输入框 Input,TextInput_ComponentSet_Notes_01,,TextInput_ComponentSet_Notes_01,,,"C栏：
TextInput_ComponentSet_Notes_08",,,"C栏：
TextInput_ComponentSet_Notes_08",,"C栏：
TextInput_ComponentSet_Notes_00","C栏：
TextInput_ComponentSet_Notes_00",,,,,,,"C栏：
TextInput_ComponentSet_Notes_00","C栏：
TextInput_ComponentSet_Notes_00",,,,,,
,,TextInput_ComponentSet_Notes_02,,TextInput_ComponentSet_Notes_02,,,C栏：TextInput_ComponentSet_Notes_02,,,C栏：TextInput_ComponentSet_Notes_02,,C栏：TextInput_ComponentSet_Notes_02,C栏：TextInput_ComponentSet_Notes_02,,,,,,,C栏：TextInput_ComponentSet_Notes_02,C栏：TextInput_ComponentSet_Notes_02,,,,,,
,,TextInput_ComponentSet_Notes_03,,TextInput_ComponentSet_Notes_03,,,C栏：TextInput_ComponentSet_Notes_03,,,C栏：TextInput_ComponentSet_Notes_03,,C栏：TextInput_ComponentSet_Notes_03,C栏：TextInput_ComponentSet_Notes_03,,,,,,,C栏：TextInput_ComponentSet_Notes_03,C栏：TextInput_ComponentSet_Notes_03,,,,,,
,,TextInput_ComponentSet_Notes_04,,TextInput_ComponentSet_Notes_04,,,C栏：TextInput_ComponentSet_Notes_04,,,C栏：TextInput_ComponentSet_Notes_04,,C栏：TextInput_ComponentSet_Notes_04,C栏：TextInput_ComponentSet_Notes_04,,,,,,,C栏：TextInput_ComponentSet_Notes_04,C栏：TextInput_ComponentSet_Notes_04,,,,,,
,,TextInput_ComponentSet_Notes_05,,TextInput_ComponentSet_Notes_05,,,C栏：TextInput_ComponentSet_Notes_05,,,C栏：TextInput_ComponentSet_Notes_05,,C栏：TextInput_ComponentSet_Notes_05,C栏：TextInput_ComponentSet_Notes_05,,,,,,,C栏：TextInput_ComponentSet_Notes_05,C栏：TextInput_ComponentSet_Notes_05,,,,,,
,,TextInput_ComponentSet_Notes_06,,TextInput_ComponentSet_Notes_06,,,C栏：TextInput_ComponentSet_Notes_06,,,C栏：TextInput_ComponentSet_Notes_06,,C栏：TextInput_ComponentSet_Notes_06,C栏：TextInput_ComponentSet_Notes_06,,,,,,,C栏：TextInput_ComponentSet_Notes_06,C栏：TextInput_ComponentSet_Notes_06,,,,,,
,,TextInput_ComponentSet_Notes_07,,TextInput_ComponentSet_Notes_07,,,C栏：TextInput_ComponentSet_Notes_07,,,C栏：TextInput_ComponentSet_Notes_07,,C栏：TextInput_ComponentSet_Notes_07,C栏：TextInput_ComponentSet_Notes_07,,,,,,,C栏：TextInput_ComponentSet_Notes_07,C栏：TextInput_ComponentSet_Notes_07,,,,,,
,滚动条 Scrollbar / NLC,Scrollbar_ComponentSet_01,,Scrollbar_ComponentSet_01,,,"L栏：Scrollbar_ComponentSet_01

C栏：Scrollbar_ComponentSet_01",,,"L栏：Scrollbar_ComponentSet_01

C栏：Scrollbar_ComponentSet_01",,"N栏：Scrollbar_ComponentSet_01

L栏：Scrollbar_ComponentSet_01

C栏：Scrollbar_ComponentSet_01","N栏：不展示

L栏：Scrollbar_ComponentSet_01

C栏：Scrollbar_ComponentSet_01",,,,,,,"N栏：Scrollbar_ComponentSet_01

L栏：Scrollbar_ComponentSet_01

C栏：Scrollbar_ComponentSet_01","N栏：不展示

L栏：Scrollbar_ComponentSet_01

C栏：Scrollbar_ComponentSet_01",,,,,,
,滚动条 Scrollbar / NL,Scrollbar_ComponentSet_01,,Scrollbar_ComponentSet_01,,,,Scrollbar_ComponentSet_01,,,Scrollbar_ComponentSet_01,,,"N栏：Scrollbar_ComponentSet_01

L栏：Scrollbar_ComponentSet_01","N栏：不展示


L栏：Scrollbar_ComponentSet_01",,,,,,,"N栏：Scrollbar_ComponentSet_01


L栏：Scrollbar_ComponentSet_01","N栏：不展示


l栏：Scrollbar_ComponentSet_01",,,,
,滚动条 Scrollbar / NC,Scrollbar_ComponentSet_01,,Scrollbar_ComponentSet_01,,,,Scrollbar_ComponentSet_01,,,Scrollbar_ComponentSet_01,,,,,"N栏：Scrollbar_ComponentSet_01

C栏：Scrollbar_ComponentSet_01","N栏：不展示

C栏：Scrollbar_ComponentSet_01",,,,,,,"N栏：Scrollbar_ComponentSet_01

C栏：Scrollbar_ComponentSet_01","N栏：不展示

C栏：Scrollbar_ComponentSet_01",,
,滚动条 Scrollbar / LC,Scrollbar_ComponentSet_01,,Scrollbar_ComponentSet_01,,,"L栏：Scrollbar_ComponentSet_01

C栏：Scrollbar_ComponentSet_01",,,"L栏：Scrollbar_ComponentSet_01

C栏：Scrollbar_ComponentSet_01",,,,,,,,"L栏：Scrollbar_ComponentSet_01

C栏：Scrollbar_ComponentSet_01",,,,,,,,"L栏：Scrollbar_ComponentSet_01

C栏：Scrollbar_ComponentSet_01",
,滚动条 Scrollbar / C,Scrollbar_ComponentSet_01,,Scrollbar_ComponentSet_01,,,,Scrollbar_ComponentSet_01,,,Scrollbar_ComponentSet_01,,,,,,,,Scrollbar_ComponentSet_01,,,,,,,,Scrollbar_ComponentSet_01
,文字格式弹窗 TextFormatPanel / NLC,TextFormatPanel_01,,TextFormatPanel_01,,,"C栏：
TextFormatPanel_02",,,"C栏：
TextFormatPanel_01",,"C栏：
TextFormatPanel_01","C栏：
TextFormatPanel_01",,,,,,,"C栏：
TextFormatPanel_01","C栏：
TextFormatPanel_01",,,,,,
,"浮层 Overay / 文件夹管理窗口
ManageFoldWindow / NLC",Sidebar_Component_Fold_LC_01 : 宽度定制283,,Sidebar_Component_Fold_LC_01 : 宽度定制 283,,FloatingWindow_ComponentSet_01,,,FloatingWindow_ComponentSet_01,,,"N栏：
Sidebar_Component_PAD_NLC_01",不展示,,,,,,,"N栏：
Sidebar_Component_PAD_NLC_01",不展示,,,,,,
,"浮层 Overay / 文件夹管理窗口
ManageFoldWindow / NL",Sidebar_Component_Fold_LC_01 : 宽度定制283,,Sidebar_Component_Fold_LC_01 : 宽度定制 283,,FloatingWindow_ComponentSet_01,,,FloatingWindow_ComponentSet_01,,,,,"N栏：
Sidebar_Component_PAD_NLC_01",不展示,,,,,,,,,,,,
